trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-20T22:38:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780680,22.00,BUY_YES,0.9410,94,1,1,6
2025-05-20T22:39:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780740,21.00,BUY_NO,0.1029,89,1,1,-89
2025-05-20T22:39:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780740,21.00,BUY_YES,0.9445,94,1,1,6
2025-05-20T22:39:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780740,21.00,BUY_YES,0.8035,80,1,1,20
2025-05-20T22:39:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780740,21.00,BUY_NO,0.2529,74,1,1,-74
2025-05-20T22:40:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780800,20.00,BUY_NO,0.1042,89,1,1,-89
2025-05-20T22:40:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780800,20.00,BUY_YES,0.9613,96,1,1,4
2025-05-20T22:40:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780800,20.00,BUY_YES,0.8484,84,1,1,16
2025-05-20T22:40:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780800,20.00,BUY_NO,0.2942,70,1,1,-70
2025-05-20T22:41:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780860,19.00,BUY_YES,0.8529,85,1,1,15
2025-05-20T22:41:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780860,19.00,BUY_NO,0.1027,89,1,1,-89
2025-05-20T22:41:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780860,19.00,BUY_NO,0.3158,68,1,1,-68
2025-05-20T22:41:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780860,19.00,BUY_YES,0.9631,96,1,1,4
2025-05-20T22:42:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780920,18.00,BUY_NO,0.2527,74,1,1,-74
2025-05-20T22:42:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780920,18.00,BUY_NO,0.0857,91,1,1,-91
2025-05-20T22:42:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780920,18.00,BUY_YES,0.8444,84,1,1,16
2025-05-20T22:42:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780920,18.00,BUY_YES,0.9619,96,1,1,4
2025-05-20T22:43:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780980,17.00,BUY_NO,0.1531,84,1,1,-84
2025-05-20T22:43:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780980,17.00,BUY_YES,0.9409,94,1,1,6
2025-05-20T22:43:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780980,17.00,BUY_YES,0.9679,96,1,1,4
2025-05-20T22:44:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747781040,16.00,BUY_YES,0.9661,96,1,1,4
2025-05-20T22:44:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747781040,16.00,BUY_YES,0.7841,78,1,1,22
2025-05-20T22:44:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747781040,16.00,BUY_YES,0.9570,95,1,1,5
2025-05-20T22:44:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747781040,16.00,BUY_NO,0.1874,81,1,1,-81
2025-05-20T22:45:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747781100,15.00,BUY_YES,0.9608,96,1,1,4
2025-05-20T22:45:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747781100,15.00,BUY_NO,0.2877,71,1,1,-71
2025-05-20T22:45:00+00:00,KXBTCD-25MAY2019-T106999.99,106999.99,1747782000,1747781100,15.00,BUY_NO,0.0944,90,1,0,10
2025-05-20T22:45:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747781100,15.00,BUY_YES,0.8771,87,1,1,13
2025-05-20T22:45:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747781100,15.00,BUY_YES,0.9640,96,1,1,4
2025-05-20T22:46:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747781160,14.00,BUY_YES,0.9608,96,1,1,4
2025-05-20T22:46:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747781160,14.00,BUY_NO,0.1865,81,1,1,-81
2025-05-20T22:46:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747781160,14.00,BUY_YES,0.7804,78,1,1,22
2025-05-20T22:46:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747781160,14.00,BUY_YES,0.9570,95,1,1,5
2025-05-20T22:46:00+00:00,KXBTCD-25MAY2019-T106999.99,106999.99,1747782000,1747781160,14.00,BUY_NO,0.0724,92,1,0,8
2025-05-20T22:47:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747781220,13.00,BUY_NO,0.2007,79,1,1,-79
2025-05-20T22:47:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747781220,13.00,BUY_YES,0.9641,96,1,1,4
2025-05-20T22:47:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747781220,13.00,BUY_YES,0.7887,78,1,1,22
2025-05-20T22:47:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747781220,13.00,BUY_YES,0.9623,96,1,1,4
2025-05-20T22:48:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747781280,12.00,BUY_YES,0.9308,93,1,1,7
2025-05-20T22:48:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747781280,12.00,BUY_YES,0.9660,96,1,1,4
2025-05-20T22:48:00+00:00,KXBTCD-25MAY2019-T106999.99,106999.99,1747782000,1747781280,12.00,BUY_NO,0.0792,92,1,0,8
2025-05-20T22:48:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747781280,12.00,BUY_NO,0.3504,64,1,1,-64
2025-05-20T22:48:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747781280,12.00,BUY_YES,0.9673,96,1,1,4
2025-05-20T22:49:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747781340,11.00,BUY_NO,0.2201,77,1,1,-77
2025-05-20T22:49:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747781340,11.00,BUY_YES,0.9638,96,1,1,4
2025-05-20T22:49:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747781340,11.00,BUY_YES,0.9059,90,1,1,10
2025-05-20T22:49:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747781340,11.00,BUY_YES,0.9626,96,1,1,4
